Usage logs
Last refresh time: June 24, 2024 at 10:14 AM EDT
TIME (EDT)	MODEL	MODEL LATENCY	INPUT TOKENS	OUTPUT TOKENS	TYPE	ERROR
Jun 24, 2024, 9:35 AM	claude-3-5-sonnet-20240620	16.20	180913	950	sse	None
Jun 24, 2024, 9:32 AM	claude-3-5-sonnet-20240620	12.66	179464	789	sse	None
Jun 24, 2024, 9:24 AM	claude-3-5-sonnet-20240620	33.12	178184	811	sse	None
Jun 24, 2024, 9:17 AM	claude-3-5-sonnet-20240620	9.54	176405	341	sse	None
Jun 24, 2024, 8:56 AM	claude-3-5-sonnet-20240620	33.50	174862	825	sse	None
Jun 24, 2024, 8:46 AM	claude-3-5-sonnet-20240620	32.01	170769	2401	sse	None
Jun 24, 2024, 8:45 AM	claude-3-5-sonnet-20240620	13.55	169965	784	sse	None
Jun 24, 2024, 8:42 AM	claude-3-5-sonnet-20240620	28.06	169052	551	sse	None
Jun 24, 2024, 8:39 AM	claude-3-5-sonnet-20240620	51.65	166417	2472	sse	None
Jun 24, 2024, 8:37 AM	claude-3-5-sonnet-20240620	31.31	159700	2369	sse	None
Jun 24, 2024, 8:32 AM	claude-3-5-sonnet-20240620	23.04	156315	1231	sse	None
Jun 24, 2024, 8:28 AM	claude-3-5-sonnet-20240620	12.45	153877	555	sse	None
Jun 24, 2024, 8:25 AM	claude-3-5-sonnet-20240620	14.32	150863	824	sse	None
Jun 24, 2024, 8:16 AM	claude-3-5-sonnet-20240620	50.44	148388	2364	sse	None
Jun 24, 2024, 7:37 AM	claude-3-5-sonnet-20240620	35.00	142993	1181	sse	None
Jun 24, 2024, 1:46 AM	claude-3-5-sonnet-20240620	52.07	138926	3992	sse	None
Jun 24, 2024, 1:42 AM	claude-3-5-sonnet-20240620	19.34	137790	1121	sse	None
Jun 24, 2024, 1:37 AM	claude-3-5-sonnet-20240620	29.80	136088	621	sse	None
Jun 24, 2024, 1:32 AM	claude-3-5-sonnet-20240620	21.47	114432	1397	sse	None
Jun 24, 2024, 1:28 AM	claude-3-5-sonnet-20240620	25.83	113764	607	sse	None
Jun 24, 2024, 1:22 AM	claude-3-5-sonnet-20240620	30.38	91811	1297	sse	None
Jun 24, 2024, 12:00 AM	claude-3-5-sonnet-20240620	15.81	79104	927	sse	None
Jun 23, 2024, 11:58 PM	claude-3-5-sonnet-20240620	17.87	77873	1206	sse	None
Jun 23, 2024, 11:49 PM	claude-3-5-sonnet-20240620	20.05	76482	1173	sse	None
Jun 23, 2024, 11:37 PM	claude-3-5-sonnet-20240620	32.44	73741	2324	sse	None
Jun 23, 2024, 11:28 PM	claude-3-5-sonnet-20240620	20.91	72418	1299	sse	None
Jun 23, 2024, 11:25 PM	claude-3-5-sonnet-20240620	20.98	71011	1356	sse	None
Jun 23, 2024, 11:21 PM	claude-3-5-sonnet-20240620	19.66	69662	1304	sse	None
Jun 23, 2024, 11:20 PM	claude-3-5-sonnet-20240620	27.54	68376	1261	sse	None
Jun 23, 2024, 11:17 PM	claude-3-5-sonnet-20240620	19.97	43748	858	sse	None
Jun 23, 2024, 11:14 PM	claude-3-5-sonnet-20240620	13.97	19304	1092	sse	None
Jun 23, 2024, 11:13 PM	claude-3-5-sonnet-20240620	8.12	18830	458	sse	None
Jun 23, 2024, 11:08 PM	claude-3-5-sonnet-20240620	19.67	16975	1836	sse	None
Jun 23, 2024, 11:07 PM	claude-3-5-sonnet-20240620	20.73	15150	1801	sse	None
Jun 23, 2024, 11:05 PM	claude-3-5-sonnet-20240620	6.87	13053	429	sse	None
Jun 23, 2024, 11:02 PM	claude-3-5-sonnet-20240620	23.21	11100	1932	sse	None
Jun 23, 2024, 10:54 PM	claude-3-5-sonnet-20240620	35.04	7887	3151	sse	None
Jun 23, 2024, 10:53 PM	claude-3-5-sonnet-20240620	11.91	6862	998	sse	None
Jun 23, 2024, 10:52 PM	claude-3-5-sonnet-20240620	13.00	5855	998	sse	None
Jun 23, 2024, 9:24 PM	claude-3-5-sonnet-20240620	24.16	100465	648	sse	None
Jun 23, 2024, 9:22 PM	claude-3-5-sonnet-20240620	6.77	73150	271	sse	None
Jun 23, 2024, 9:18 PM	claude-3-5-sonnet-20240620	14.90	72034	961	sse	None
Jun 23, 2024, 9:09 PM	claude-3-5-sonnet-20240620	22.45	70970	864	sse	None
Jun 23, 2024, 9:08 PM	claude-3-5-sonnet-20240620	25.32	66746	1847	sse	None
